Generation: 0	String: 0111001010111	Value: -0.518252	Fitness: -0.309285
Generation: 1	String: 0111001011100	Value: -0.512147	Fitness: -0.309502
Generation: 2	String: 0111001011100	Value: -0.512147	Fitness: -0.309502
Generation: 3	String: 0111001011100	Value: -0.512147	Fitness: -0.309502
Generation: 4	String: 0111001011100	Value: -0.512147	Fitness: -0.309502
Generation: 5	String: 1000101110111	Value: 0.45843	Fitness: -0.309735
Generation: 6	String: 1000101110111	Value: 0.45843	Fitness: -0.309735
Generation: 7	String: 1000101110111	Value: 0.45843	Fitness: -0.309735
Generation: 8	String: 1000101110111	Value: 0.45843	Fitness: -0.309735
Generation: 9	String: 1000101110111	Value: 0.45843	Fitness: -0.309735
Generation: 10	String: 0111001110011	Value: -0.484068	Fitness: -0.310015
Generation: 11	String: 0111001110111	Value: -0.479184	Fitness: -0.310019
Generation: 12	String: 0111001110111	Value: -0.479184	Fitness: -0.310019
Generation: 13	String: 0111001110111	Value: -0.479184	Fitness: -0.310019
Generation: 14	String: 0111001110111	Value: -0.479184	Fitness: -0.310019
Generation: 15	String: 0111001110111	Value: -0.479184	Fitness: -0.310019
Generation: 16	String: 0111001110111	Value: -0.479184	Fitness: -0.310019
Generation: 17	String: 0111001110111	Value: -0.479184	Fitness: -0.310019
Generation: 18	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 19	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 20	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 21	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 22	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 23	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 24	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 25	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 26	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 27	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 28	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 29	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 30	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 31	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 32	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 33	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 34	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 35	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 36	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 37	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 38	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 39	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 40	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 41	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 42	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 43	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 44	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 45	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 46	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 47	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 48	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 49	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
Generation: 50	String: 0111001110110	Value: -0.480405	Fitness: -0.31002
