generacion, id, cromosoma, valor 1,valor 2,valor 3,valor 4,valor 5,valor 6,valor 7,valor 8,valor 9,valor 10,valor 11,valor 12,valor 13,valor 14,valor 15,valor 16,valor 17,valor 18,valor 19,valor 20,valor 21,valor 22,valor 23,valor 24,valor 25,valor 26,valor 27,valor 28,valor 29,valor 30,aptitud, valor_esperado,
1,67,001010011010100110010000111000000000110000100001111011100000001101111101100010000011010111110111111001010000100111010011110100111001011100000111010101111001001101101101101101111101001111100000011001101011111000001100111100101101101001101011010001011110000111000001101011111000011110111101001111011000001010011010100110001001100011001001001101110100101000000101011000010111010110101110110101,-20.2356,-18.2578,0.0476132,-26.0298,22.5504,28.85,-26.8429,14.8077,-27.6999,-1.30021,-8.41289,10.2661,-17.1444,-3.8347,28.1541,-17.3569,-26.9674,-8.60334,10.5665,26.462,-23.6784,-26.3741,-11.3942,-25.1215,5.76853,-24.1106,21.8398,-29.37,-24.5281,-8.04664,7.81152e+08,1.62646,
1,75,111100100010001110011101011111011110101010101111101100000010010000110100110111001100011100010001011100100101100110000001111101110011110001000100110110100111000111000110011011101101110000010001000000001111110100001001010111111011011000001011001010110010101100101001101001000010111001001011001000101001011011111010110111010100100011010110101000000110110101101101010011111101011011001010001100,26.755,-2.88976,28.0515,-9.40911,-29.4726,-5.21914,-18.3384,2.71395,-9.02088,-15.2619,26.5059,-4.39873,-23.3488,21.9717,-29.0038,-28.1467,-27.8098,27.8391,-19.5324,5.05799,6.15676,-8.30302,17.0272,13.0863,21.8691,-23.7151,0.399219,12.808,29.3993,4.77964,7.2049e+08,1.50016,
1,35,000101110001011110011100100010110101101010001011001011111000011011101011001100010010100101100001000101111111001101111101000011100000111001010010001111110010001110011000011110001011010111011100011000101000000010011010011110101101001100001001010110011010110010011000000011111111110011011010001111001001111100001111111110110101111001100000000100100110110111011100111010000100110110111010110001,-24.5941,27.0919,-19.3566,-13.6943,28.2273,20.2503,-12.5736,-27.9563,27.07,7.91478,-16.5731,-22.6016,-16.5218,26.5865,-2.08399,-25.3119,6.20803,-8.81577,-21.2392,20.2283,0.230741,28.5277,3.54902,28.242,28.9159,17.8183,-12.7274,25.8906,1.13906,-2.45025,7.1348e+08,1.48556,
1,44,111110000111000101001110101001100101101111011011111011010111111001011100111000000110000111100001101000001010000000001110101010101111010011011010010011010001111000100110010101010110011101110000000000001001110101100111101101110000110000000010001010111011011001100000100110101000111100101010000011100001101000010000110001110011011101011010100010010101001100101100000010100001001001001101011011,28.2346,-20.199,5.95898,25.7734,20.6019,13.5405,-24.2644,-26.9528,7.5119,20.0085,19.5544,-20.9681,23.0631,10.0317,21.5688,-28.85,-5.69528,22.858,-27.9709,21.3783,-27.7365,-22.8946,0.824075,18.8732,16.6903,25.1581,-21.2611,5.16054,7.76828,6.29593,6.80357e+08,1.41659,
1,18,100101010101110011101101010000010111001000000001011011000111100010110111110110101100000011110010101100101111001010101000011101000000110000110111101011101110111101011000110011001111101110101110010110000100000100000110100100010000010110111000101011001011000010111111100001110110001001011100011001001011000100001100010101011011110100000110110101001111001100010101010111110010001000011110110111,5.00671,6.95519,-28.6449,-29.8388,16.7708,-3.82005,11.3063,5.05799,26.8795,-26.6011,-18.5508,20.4993,27.5534,6.08351,25.2167,15.4816,-28.4617,-22.3379,23.1364,-9.29191,28.2346,16.1116,-24.1033,1.96679,-9.90722,7.70236,-10.3614,2.50153,26.755,-15.5329,6.73846e+08,1.40304,
1,26,000111011100100011001101010010000010100001110011110001100001111100000111011111000100011011001110001101110101110111001010111001000100010111101111101101010110101001011010001111001011010100100110001101001110101010010101110111100111000101100001101011000000101001110100111111010001000100100100000011011111111110100110011101010111100100010101111000111001111111011001111111010011100001111110110110,-23.0192,-23.9861,-22.3526,-16.4339,-7.0431,-26.4913,-25.854,-3.34391,-8.01734,-8.31034,-24.4402,21.2611,8.8231,-1.54194,-12.764,9.21865,5.12392,18.3238,1.57124,-28.7767,-11.2917,-21.9644,-29.1869,29.3481,-2.4649,-21.8618,3.39519,25.5463,19.5764,29.4653,6.69486e+08,1.39396,
1,45,011001110101000010010100110111001101000110101100101111010011111010001000110000101100001111011100010011100000010010000001010110010001001000011001100110100100010011001100111110110100101110111111010110111110111111000011111111101001000000101000000001100111010110000010101010011101111000101111011110001000010101101010001111001010011100010101000000010110110111011000001100001100110100101010010110,-5.78318,-25.6416,-2.98498,20.243,19.6716,-25.8979,11.4748,23.0778,-28.9452,-19.8913,-13.035,18.082,-12.0022,27.7951,26.2129,22.3819,15.9358,19.2248,7.52655,-16.2288,-20.0159,14.1485,22.0669,-19.8474,-15.7893,23.1217,-28.6668,25.3412,-26.9967,-10.1489,6.66645e+08,1.38805,
1,65,100010011010010010110000101000100011100011010111110110001001000100000100001100001010001101111011000101010011100110110110101001001111111011011111100111100110011011110110000000011111111010101100010111110001011001011001001010100101110011011111110000000001111011100000111111011000110000111111110011100011011000001101111001001111010100100011101101010100111111010001110010100101101011111000101000,2.2598,5.17519,2.08399,-4.70639,2.12795,-28.0369,-20.4261,20.785,-16.4778,19.8327,28.9452,18.5655,-3.8933,-29.0697,10.0977,28.2932,-9.10145,-12.2806,-0.230741,-26.3814,-26.2862,-24.2644,27.0846,11.3503,23.6638,8.54474,19.9792,24.5867,8.83042,26.5499,6.55246e+08,1.36431,
1,71,111111101000100111101110000001001011110010111000001010101110000100010101001011100110001110011101011000011011101110100100000011101000010110010110101010001011001000011101111011001100011001000010001000101110110010110001101110100001110010000110100101111111110010001110011100000000011000010000111101110000000110111110110001000001101011111011111100101000010011101001111010011100101110000011101010,29.663,-15.5256,-25.561,-8.42022,10.8009,-20.0745,5.83445,25.0922,13.98,0.428519,-24.7625,-10.2295,-22.0669,20.9901,3.87865,-24.5208,11.6579,-14.1631,-23.8249,29.5971,24.1472,-27.1579,-15.5256,-26.733,15.9651,-7.62178,17.3642,-2.58943,6.73544,-28.2859,6.5407e+08,1.36186,
1,61,101000010010001000110101001111101110011110010010110100101011111110011000010110110100010000101111111110100010011101101001000110011100000011010111111111100001101010011010101100010010011001101001001111010110000000101001001010011110001001010000010100100100011101101010010111101111001000001000101100001100111001111110001110101001111011111011110100110000101001110011111000000011111001111111010000,7.76828,-13.4452,28.9745,17.2104,-19.6936,-18.5875,18.9977,-0.0402881,-20.763,-21.7446,-29.2162,29.7802,9.76804,-6.96252,6.16408,25.0848,-20.3528,-15.8699,-14.6978,-21.6347,8.88902,23.4587,-19.6423,-2.82383,-16.2654,22.3819,-12.1487,-16.4192,-29.0917,29.6557,6.41191e+08,1.33505,
1,63,110001000100010010010010000100111001000000011011000110000100101100000111010011111011101001000010101011001011100010010111110100110100111100101101111000100100100101011000011011110010101000100110001000011101011100111100100110001001110001010011000110010001010101001101101011001010101101100000110001100100000010101110011101111111101000111010011100110010011110000000000110011100101010000011010011,16.0017,4.28153,-11.6579,-26.8282,1.10243,-26.5792,25.9199,-24.9896,13.2621,28.6961,-15.7746,26.5206,5.04334,22.1109,2.23782,-26.5499,-15.7966,-25.4218,-12.0974,2.4942,21.2831,-9.66549,-18.3824,-28.7254,-1.87889,-13.2914,17.9575,15.0128,6.72079,-28.4544,6.40828e+08,1.33429,
1,42,010100101100100010111111110100001001100001100000000111101011111011101100010011101010110100100010100010101100111101110010011111000001001111000110000011001111011001110000001110001000010001100100001001000011110100010011101100011100011110111111010110101000001000011000010010001101110110110001101101011010000101100010110000001001100000011010111111001010000110000011001110111000000011000010111111,-10.5958,-24.3816,-14.4415,-18.7413,25.2973,20.7704,10.1489,-25.2387,18.6241,-11.3649,-11.4601,-28.4837,-5.85643,-3.50507,-24.1326,-22.0523,-25.3852,-16.6536,29.3993,-14.7564,1.0658,13.9214,-4.35478,-27.4069,15.1447,-29.2162,26.8429,15.3791,13.1376,1.40276,6.34388e+08,1.32088,
1,90,010000110001010000010101101110100111001001011111011000000111110000101111001111000101110100101000000111101100010101010011100111101111111111111111101110000111000010110011000101110010110101001000001100001011000000011101110100011000110101101111101011011111111111001001010011001000110110100001111011011000110001010001101100110001110000000011000000100000001001001001001100100110101011010100110101,-14.2803,0.633622,24.7992,-18.8219,-28.1834,-7.85618,-24.5428,-14.7784,16.2508,-2.84581,30,21.6201,-27.3776,-19.1369,-10.7716,1.29288,-23.0118,-18.3604,14.6978,29.978,4.87486,-23.6125,-1.08045,-6.90392,11.9802,0.0915639,-28.1174,-21.4223,-20.9388,9.76804,6.13312e+08,1.277,
1,80,010111100010001001110111101111001011111000011100101000110110101110001100111100000111000111010111100001000010010100100011011101110111111001110110101101010011111001001110111110010111110101110111011111010000110110000010100011111010001011101100000000000111100110000110011001010010101010111110110000001010111000000100011001111000011110001000011001001000000001110101111011101000010111111111010100,-7.93676,-11.4968,26.9528,-26.6451,-17.1737,-23.9348,-23.3341,14.0972,-21.2978,-4.00317,28.5643,-8.7645,23.6565,26.9528,-8.00269,24.4769,0.596997,27.2751,11.255,-15.76,-6.01758,-9.96582,11.2917,-3.71749,-5.73923,26.4986,4.22293,-16.1848,24.4622,29.685,6.02646e+08,1.25479,
1,39,000010000001000111101110100001001101110111101010100011011010111111110101001111010111011101100010000110101011011001000110111111110111101011000101101101010001001110110000100000110101101010100001010110100001110000111100011000111111111111001010101110010001011101001001111101111011100100010001010100110011101000001111001010110111111001100011110011011110111000010001100010111000001010100010110100,-28.1101,-15.5109,-25.4438,27.4875,21.3271,24.9603,-8.00269,-26.0591,12.7201,22.4844,25.0995,21.2245,-16.1629,-28.4324,9.45306,18.9611,-15.8479,-0.00366256,-19.9499,2.7286,7.38005,-3.24869,-10.127,18.8658,-19.8108,17.9282,-16.9393,-27.949,13.1669,-13.6796,5.89947e+08,1.22835,
1,47,100000110010110100000100100000110011110111011111100111100110011111110111001000101110110010111010101000101000011000001001110100100001101111101111111010001111111111010010010010000111110100011100001101000011001011011011110000110111000100101011101110010011111101110010100110010110100100001001000010000010000010011111000101001101110110000011010001100011000110001001000011110011101010110000011010,0.743499,7.63643,-26.9674,26.2056,24.0227,25.8467,13.8701,19.9426,1.41741,-16.346,-3.81272,27.3044,29.3334,3.9812,-13.35,7.87083,21.5102,-4.1863,10.9913,7.43865,-20.2576,19.2394,-14.522,-28.8353,-25.1141,11.3503,-24.1985,16.0603,27.1139,-7.3068,5.89563e+08,1.22755,
1,48,100111001101100111011010011110011101010101000101110100011111111011010011101010011111100111000000000110001110010101001110011110000111001111001001010011110000101000110001001101101010011110111101110101100110011001011100101010011111101101111110000011000001011010010011000111101000110101101000100100000000001100100011100001011011110001110100010001010011110111010111011011100011111010101010100011,6.76474,-16.1043,24.2205,8.18581,-22.5211,9.21865,-0.362593,-29.8242,23.7444,18.5289,18.5508,9.26261,8.22244,-4.38408,26.125,12.0022,-8.28104,-15.1373,28.176,-27.3556,-18.3018,-23.7151,-21.5615,-24.1179,1.34416,3.40984,-25.0922,25.246,23.422,-10.0537,5.88642e+08,1.22563,
1,33,001001001101110100101000000001011000010111010110101110110101010101010110010011101000011100100001011101000001011111001001000101111011100111110010110011100001101001101100011010101101010101001110001111001110100011100000101100100110001000001100100100110101100000100100101000101110110111110100010010100100000010010111110110001111010001110110111001100010100111111110000001110100011011010111111111,-21.3637,8.6766,-24.8285,25.1654,12.5003,10.4566,7.92211,-27.2751,-24.4256,-21.8105,24.3304,-5.8491,9.0868,20.0818,-10.42,24.2058,22.6676,-12.1267,-18.2139,10.3321,-12.6175,21.5468,-25.6489,-28.8939,20.8509,3.48309,5.77585,29.7729,-2.71395,11.2477,5.81674e+08,1.21112,
1,47,000001111110100101101000111101100101001110011101100011111011100011001100011111110011010100101100101111011011111011101000111000110001010000000100110100111101011010011000010010101100110101100100110000000111111111100110110100011110010011111000011111111101101011110011000000001001001101101110111001110100001001101101110101100010001011100010111100111001000101101011010100010110010111110000110111,-28.1467,-19.4299,20.9315,18.4629,28.9598,5.85643,18.1187,-6.11281,14.7491,-23.3488,-11.2331,-5.17519,-5.27042,5.06532,-9.09413,-29.0697,24.1033,-15.7966,22.9679,25.6635,-18.7413,-20.8949,13.5551,-25.4511,20.1917,-8.35429,18.3457,12.5809,-24.7625,22.9093,5.80166e+08,1.20798,
