generacion, id, cromosoma, valor 1,valor 2,valor 3,valor 4,valor 5,valor 6,valor 7,valor 8,valor 9,valor 10,valor 11,valor 12,valor 13,valor 14,valor 15,valor 16,valor 17,valor 18,valor 19,valor 20,valor 21,valor 22,valor 23,valor 24,valor 25,valor 26,valor 27,valor 28,valor 29,valor 30,aptitud_individuo, valor_esperado, promedio_generacion
0,69,100111000100100101001000001111111010001101100110000001011000110110001001111000111110100101101100001100000011111010010001000110000111011000100110001101100010000011011010011111010001010001100101010101100011101000010110110001000000001111100000100010011111101101100111001010110000101101000011111011001011111101001001000100001111110000001101110101101110101111011101111100110101011101101011000111,6.63289,-20.3895,29.663,11.9582,-9.1747,-25.3705,28.6815,-7.14565,-15.3351,-21.7885,20.7704,-23.6565,-26.8063,28.6375,-24.0667,11.6799,-24.6673,0.113539,0.50177,29.4653,-3.11684,-24.7259,28.8719,28.6668,-26.0225,0.406544,-8.51544,26.0151,-17.4741,20.2136,8.34099e+08,1.73462,4.80853e+08,
1,85,010100100110011111000101010000001111110111110100100011011101100000100000011111111000110101101000001001111011011011110000100110000011111101110110100101110010000000010011101110111110001110101011100001111111001010110100011011010101111110111000000010011101110001111001110111111000101010000001010111100110001010000011111010010111100011001000111111001011001000100110111111100011001010110001000001,-10.691,28.2859,-29.077,28.6595,21.9204,-14.7711,23.2902,-14.7125,12.8812,-25.5463,29.5019,-12.2879,-29.7143,-1.93017,25.0555,-15.1007,12.2879,10.3028,22.5357,25.8393,7.02845,-25.0775,-9.46771,-25.29,24.7259,-24.1179,26.9088,-25.4365,23.2462,-7.02112,8.51471e+08,1.69234,5.03133e+08,
2,85,010100100110011111000101010000001111110111110100100011011101100000100000011111111000110101101000001001111011011011110000100110000011111101110110100101110010000000010011101110111110001110101011100001111111001010110100011011010101111110111000000010011101110001111001110111111000101010000001010111100110001010000011111010010111100011001000111111001011001000100110111111100011101010110001000001,-10.691,28.2859,-29.077,28.6595,21.9204,-14.7711,23.2902,-14.7125,12.8812,-25.5463,29.5019,-12.2879,-29.7143,-1.93017,25.0555,-15.1007,12.2879,10.3028,22.5357,25.8393,7.02845,-25.0775,-9.46771,-25.29,24.7259,-24.1179,26.9088,-25.4365,23.3634,-7.02112,8.52026e+08,1.6102,5.29145e+08,
3,85,010100100110011111000101010000001111110111110100100011011101100000100000011111111000110101101000001001111011011011110010100110000011111101110110100101110010000000010011101110111110001110101011100001111111001010110100011011010101111110111000000010011101110001111001110111111000101010000001010111100110001010000011111010010111100011001000111111001011001000100110111111100011101010110001000001,-10.691,28.2859,-29.077,28.6595,21.9204,-14.7711,23.2902,-14.7125,12.8812,-10.5445,29.5019,-12.2879,-29.7143,-1.93017,25.0555,-15.1007,12.2879,10.3028,22.5357,25.8393,7.02845,-25.0775,-9.46771,-25.29,24.7259,-24.1179,26.9088,-25.4365,23.3634,-7.02112,8.07628e+08,1.51445,5.33283e+08,
4,69,100111000100100101001000001111111010001101100110000001011000110110001001111000111110100101101100101100000011110010010001000110000111011000100010001101100010000011011010011111010001011001100101010101100011101000010110110001000000001111100000100010011111101101100111001010110000101101000011111011001011111101001001000100001111110000001101110101101110101111011101111100110101011101101011000111,6.63289,-20.3895,29.663,11.9582,-9.1747,-25.3705,28.6815,-6.20803,-15.8039,-21.7885,20.7557,-23.6565,-26.8063,28.6375,5.937,11.6799,-24.6673,0.113539,0.50177,29.4653,-3.11684,-24.7259,28.8719,28.6668,-26.0225,0.406544,-8.51544,26.0151,-17.4741,20.2136,7.98496e+08,1.48544,5.3755e+08,
5,99,110100011101000001100111101111100101011001101001010011111000110101100101100100111111011100101100010010110110101010000000000001010001101000110010101011000001111110101111101000010001101100010010010000011000000011101110011110011011101101010000001000000000111011000001000010000111000010010010000101011000001010001110001001110010100001010001010010010010010001101010111000100101100010101011100111,19.1808,-26.9674,28.4471,-17.6645,28.3225,17.6132,29.4872,-6.94787,-5.03602,-29.8535,-5.4389,-9.83396,28.828,-14.4854,16.075,-27.1872,25.8979,-17.0126,-14.881,-28.2713,-26.1323,22.7701,1.26358,-25.2094,-20.8216,-27.6193,-21.4296,-17.4741,-21.2025,-9.55561,8.80984e+08,1.59094,5.53752e+08,
6,99,110100011101000001100111101111100101011001101001010011111000110101100101100100111111011100101100010010110110101010000000000001010001101000110010101011000001111110101111101000010001101100010010010000011000000011101110011110011011101101010000001000000000111011000001000010000111000010010010000101011000001010001110001001100010100001010001010010010010010001101010111000100101100010101011100111,19.1808,-26.9674,28.4471,-17.6645,28.3225,17.6132,29.4872,-6.94787,-5.03602,-29.8535,-5.4389,-9.83396,28.828,-14.4854,16.075,-27.1872,25.8979,-17.0126,-14.881,-28.2713,-26.1323,22.7701,1.26358,-25.2094,-21.056,-27.6193,-21.4296,-17.4741,-21.2025,-9.55561,8.81906e+08,1.56585,5.63213e+08,
7,99,110100011101000001100111101111100101011001111001010011111000110101100101100100111111011100101100010010110110101010000000000001010001101000110010101011000001111110101111101000010001101100010010010000011000000011101110011110011011101101010000001000000000111011000001000010000111000010010010000101011000001010001110001001100010100001010001010010010010010001101010111000100101100010101011100111,19.1808,-26.9674,28.4471,-15.7893,28.3225,17.6132,29.4872,-6.94787,-5.03602,-29.8535,-5.4389,-9.83396,28.828,-14.4854,16.075,-27.1872,25.8979,-17.0126,-14.881,-28.2713,-26.1323,22.7701,1.26358,-25.2094,-21.056,-27.6193,-21.4296,-17.4741,-21.2025,-9.55561,8.78076e+08,1.59946,5.48982e+08,
8,99,110100011101000001100111101111100101011001111001010011111000110101100101100100111111011100101100010010110110101010000000000001010001101000110010101011000001111110101111101000010001101100010010010000011000000011101110011110011011101101010000001000000000111011000001000010000111000010010010000101011000001010001110001001100010100001010001010010010010010001111010111000100101100010101011100111,19.1808,-26.9674,28.4471,-15.7893,28.3225,17.6132,29.4872,-6.94787,-5.03602,-29.8535,-5.4389,-9.83396,28.828,-14.4854,16.075,-27.1872,25.8979,-17.0126,-14.881,-28.2713,-26.1323,22.7701,1.26358,-25.2094,-21.056,-27.6193,-21.4296,-15.5988,-21.2025,-9.55561,8.74371e+08,1.50222,5.82054e+08,
9,99,110100011101000001100111101111100101011001111001010011111000110101100101100100111111011100101100010010110110101010000000000001010001101000110010101011000001111110101111101000010001101100010010010000011000000011101110011110011011101101010000001000000000111011000001000010000111000000010010000101011000001010001110001001100010100001010001010010010010010001111010111000100101100010101011100111,19.1808,-26.9674,28.4471,-15.7893,28.3225,17.6132,29.4872,-6.94787,-5.03602,-29.8535,-5.4389,-9.83396,28.828,-14.4854,16.075,-27.1872,25.8979,-17.0126,-14.881,-28.2713,-26.1323,22.5357,1.26358,-25.2094,-21.056,-27.6193,-21.4296,-15.5988,-21.2025,-9.55561,8.73355e+08,1.50239,5.81311e+08,
